tag;value;unit;location;at
TH-01;20.7;°C;Hall;2026-03-01T08:00
TH-02;22.4;°C;Test rig;2026-03-01T08:00
TH-04;22.6;°C;Test rig;2026-03-01T08:00
TH-07;21.8;°C;Office;2026-03-01T08:00
TH-09;23.0;°C;Hall;2026-03-01T08:00
TH-01;21.5;°C;Hall;2026-03-01T09:00
TH-02;22.0;°C;Test rig;2026-03-01T09:00
TH-04;22.9;°C;Test rig;2026-03-01T09:00
TH-07;21.9;°C;Office;2026-03-01T09:00
TH-09;22.4;°C;Hall;2026-03-01T09:00
TH-01;22.0;°C;Hall;2026-03-01T10:00
TH-02;21.6;°C;Test rig;2026-03-01T10:00
TH-04;23.4;°C;Test rig;2026-03-01T10:00
TH-07;n/a;°C;Office;2026-03-01T10:00
TH-09;23.9;°C;Hall;2026-03-01T10:00
TH-01;22.6;°C;Hall;2026-03-01T11:00
TH-02;21.4;°C;Test rig;2026-03-01T11:00
TH-04;22.4;°C;Test rig;2026-03-01T11:00
TH-07;23.1;°C;Office;2026-03-01T11:00
TH-09;23.2;°C;Hall;2026-03-01T11:00
TH-01;20.8;°C;Hall;2026-03-01T12:00
TH-02;22.4;°C;Test rig;2026-03-01T12:00
TH-04;93.5;°C;Test rig;2026-03-01T12:00
TH-07;21.8;°C;Office;2026-03-01T12:00
TH-09;22.5;°C;Hall;2026-03-01T12:00
TH-01;20.3;°C;Hall;2026-03-01T13:00
TH-02;23.1;°C;Test rig;2026-03-01T13:00
TH-04;93.2;°C;Test rig;2026-03-01T13:00
TH-07;22.6;°C;Office;2026-03-01T13:00
TH-09;23.2;°C;Hall;2026-03-01T13:00
TH-01;n/a;°C;Hall;2026-03-01T14:00
TH-02;22.8;°C;Test rig;2026-03-01T14:00
TH-04;23.2;°C;Test rig;2026-03-01T14:00
TH-07;22.0;°C;Office;2026-03-01T14:00
TH-09;22.1;°C;Hall;2026-03-01T14:00
TH-01;21.4;°C;Hall;2026-03-01T15:00
TH-02;88.4;°C;Test rig;2026-03-01T15:00
TH-04;22.1;°C;Test rig;2026-03-01T15:00
TH-07;22.9;°C;Office;2026-03-01T15:00
TH-09;23.3;°C;Hall;2026-03-01T15:00
TH-01;20.7;°C;Hall;2026-03-01T16:00
TH-02;21.3;°C;Test rig;2026-03-01T16:00
TH-04;23.4;°C;Test rig;2026-03-01T16:00
TH-07;22.3;°C;Office;2026-03-01T16:00
TH-09;kaputt;°C;Hall;2026-03-01T16:00
TH-01;21.5;°C;Hall;2026-03-01T17:00
TH-02;21.0;°C;Test rig;2026-03-01T17:00
TH-04;23.5;°C;Test rig;2026-03-01T17:00
TH-07;22.7;°C;Office;2026-03-01T17:00
TH-09;23.1;°C;Hall;2026-03-01T17:00
